#,DESCRIPTION,CURRENCY,AMOUNT,BALANCE,DATE,WALLET
2795039474,Settlement dust on wallet margin,USD,1e-8,0,27-04-20 17:33:32,margin
2629321969,Crypto Withdrawal fee on wallet exchange,ETH,-0.0053505,0,05-02-20 21:40:18,exchange
2629321968,Ethereum Withdrawal #13574777 on wallet exchange,ETH,-85.18371026,0.0053505,05-02-20 21:40:18,exchange
2624087529,Crypto Withdrawal fee on wallet exchange,ETH,-0.00135,85.18906076,02-02-20 20:40:25,exchange
2624087528,Ethereum Withdrawal #13558808 on wallet exchange,ETH,-9.99865,85.19041076,02-02-20 20:40:25,exchange
2623573928,Settlement @ 0.0204 on wallet exchange,BTC,5.2e-7,0,02-02-20 12:18:05,exchange
2623573927,Settlement @ 0.0204 on wallet exchange,ETH,-0.00002558,95.18906076,02-02-20 12:18:05,exchange
2623573823,Settlement @ 9475.0 on wallet exchange,USD,-4.8e-7,0,02-02-20 12:18:05,exchange
2623565166,Transfer of 8.98793745 ETH from wallet Trading to Exchange on wallet exchange,ETH,8.98793745,95.18908634,02-02-20 12:12:08,exchange
2623565165,Transfer of 8.98793745 ETH from wallet Trading to Exchange on wallet margin,ETH,-8.98793745,0,02-02-20 12:12:08,margin
2623563911,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015844,86.20114889,02-02-20 12:11:33,exchange
2623563907,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016569,86.20099045,02-02-20 12:11:33,exchange
2623563901,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00002431,86.20082476,02-02-20 12:11:33,exchange
2623563892,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016277,86.20080045,02-02-20 12:11:33,exchange
2623563884,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00017338,86.20851293,02-02-20 12:11:33,exchange
2623563883,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00017749,86.20833955,02-02-20 12:11:33,exchange
2623563882,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016432,86.20816206,02-02-20 12:11:33,exchange
2623563881,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001614,86.20799774,02-02-20 12:11:33,exchange
2623563879,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0000035,86.20783634,02-02-20 12:11:33,exchange
2623563868,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015801,86.22420643,02-02-20 12:11:33,exchange
2623563865,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015344,86.22404842,02-02-20 12:11:33,exchange
2623563860,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016099,86.2280252,02-02-20 12:11:33,exchange
2623563852,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015943,86.23911861,02-02-20 12:11:33,exchange
2623563851,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00018267,86.23895918,02-02-20 12:11:33,exchange
2623563848,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016582,86.23877651,02-02-20 12:11:33,exchange
2623563833,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001796,86.24669771,02-02-20 12:11:33,exchange
2623563828,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001568,85.95691981,02-02-20 12:11:33,exchange
2623563891,Trading fees for 0.0417 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0000834,86.20063768,02-02-20 12:11:33,exchange
2623563888,Trading fees for 1.92244254 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00384489,86.20072108,02-02-20 12:11:33,exchange
2623563886,Trading fees for 1.9734786 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00394696,86.20456597,02-02-20 12:11:33,exchange
2623563877,Trading fees for 2.11407617 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00422815,86.20783284,02-02-20 12:11:33,exchange
2623563876,Trading fees for 1.93876917 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00387754,86.21206099,02-02-20 12:11:33,exchange
2623563872,Trading fees for 1.88715485 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00377431,86.21593853,02-02-20 12:11:33,exchange
2623563871,Trading fees for 0.2895983 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0005792,86.21971284,02-02-20 12:11:33,exchange
2623563869,Trading fees for 1.95719309 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00391439,86.22029204,02-02-20 12:11:33,exchange
2623563861,Trading fees for 2.06511237 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00413022,86.22389498,02-02-20 12:11:33,exchange
2623563858,Trading fees for 1.88210066 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0037642,86.22786421,02-02-20 12:11:33,exchange
2623563856,Trading fees for 1.91751166 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00383502,86.23162841,02-02-20 12:11:33,exchange
2623563853,Trading fees for 1.82758887 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00365518,86.23546343,02-02-20 12:11:33,exchange
2623563847,Trading fees for 2.17582218 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00435164,86.23861069,02-02-20 12:11:33,exchange
2623563842,Trading fees for 1.8676879 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00373538,86.24296233,02-02-20 12:11:33,exchange
2623563825,Trading fees for 2.13926415 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00427853,85.95676301,02-02-20 12:11:33,exchange
2623563823,Trading fees for 1.97505852 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00395012,85.96104154,02-02-20 12:11:33,exchange
2623563821,Trading fees for 1.89894572 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00379789,85.96499166,02-02-20 12:11:33,exchange
2623563834,Exchange 0.2895983 ETH for BTC @ 0.020372 on wallet exchange,BTC,-0.0058997,-5.2e-7,02-02-20 12:11:33,exchange
2623563831,Exchange 0.2895983 ETH for BTC @ 0.020372 on wallet exchange,ETH,0.2895983,86.24651811,02-02-20 12:11:33,exchange
2623563819,Exchange 1.88715485 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.03844323,0.00589918,02-02-20 12:11:33,exchange
2623563818,Exchange 1.88715485 ETH for BTC @ 0.020371 on wallet exchange,ETH,1.88715485,85.96878955,02-02-20 12:11:33,exchange
2623563817,Exchange 1.95719309 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.03986998,0.04434241,02-02-20 12:11:33,exchange
2623563815,Exchange 2.06511237 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.0420684,0.08421239,02-02-20 12:11:33,exchange
