#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
13574777,05-02-20 22:09:32,ETH,COMPLETED,-85.18371026,-0.0053505,0x13E0f427d9A082ee52a6c13EF5976a9ad46dc971,0x6d241c0bafb5cba6f82c97e4235a0a601b131b95cd42f58c07d89b29fd2f7638,
13558808,02-02-20 20:43:05,ETH,COMPLETED,-9.99865,-0.00135,0xD065F749EACF07d9d36D8Bf385Ee2077e4a2bAEd,0xe18f02b236e1e693a3f18de76c080c889761a0126e2e5add90c0423678f7b83e,
13548590,30-01-20 22:59:42,BTC,COMPLETED,-0.9996,-0.0004,32xkZHkrP4iNrwKqw8cy6Wiu33au8vrpH1,0a029381b6c8391503ca75e332ea216c97c3dc2e1a43833a84deae9b4e6b8414,
13492774,16-01-20 12:32:33,BTC,COMPLETED,1.25,0,1FaD3fP6DNWxbafvyPkxnSauP9Xyw3eB39,6b2d529fffebb09d253a3d8a853bc97cf24a00598f7c9971df1214c1fe8533ee,
13407187,23-12-19 15:22:40,BTC,COMPLETED,-2.9996,-0.0004,3JdJi43tw486fmxTVvbkTjML6fFscbmeM3,080a3564fd4bd50ef44430beeca7c9bc3df858c7ea96b1ebeddac8340165c185,
13406389,23-12-19 10:53:25,BTC,COMPLETED,3,0,1FaD3fP6DNWxbafvyPkxnSauP9Xyw3eB39,ca9f9d3e1133b3c9624da253c2bdfad68f15023a73a25a33ca2b999c46a8a862,
13406531,23-12-19 10:36:10,BTC,COMPLETED,3,0,1FaD3fP6DNWxbafvyPkxnSauP9Xyw3eB39,97fdd20ea21d6f6099abf18326793d323044538ddb65c81188ae87db41570c84,
13392055,18-12-19 20:09:07,BTC,COMPLETED,-2.36584967,-0.0004,3K2fTjffEVMTcu3bJ7iAW9Z1APVa22rJ6K,7e6d1e38a7a10f2312e5983ebcdbff418ab64ae34f5b715e0b8b2099be13e488,
13392060,18-12-19 20:06:05,ETH,COMPLETED,-185.59064686,-0.00135,0x13E0f427d9A082ee52a6c13EF5976a9ad46dc971,0x4b608d3d717509e62caf43889471ac00eae30b5b86b6e27c308601058bb85136,
13390224,18-12-19 12:39:51,BTC,COMPLETED,2,0,1FaD3fP6DNWxbafvyPkxnSauP9Xyw3eB39,164017ef144a12580cbb5a0c770043fa00f7158d33109e6e6a2d20c2fbade1f7,
13390275,18-12-19 12:33:51,ETH,COMPLETED,49.48526017,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xbb73d8ebb59ac89dd518950b83e42b1bc2c9ad83901a292111d5e8cf2356f325,
13390234,18-12-19 12:17:21,ETH,COMPLETED,0.1,-0.00135,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x74e5677f08359eaaa67aea9f70646f1e079a5101a5ba86b0dc804491c92d5b1b,
13381008,16-12-19 12:29:21,ETH,COMPLETED,200,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x3d342b6440aa35d110c985df3a396b2a28d19970c233700303a4f59ef55ec25d,
13184284,17-10-19 13:48:16,ETH,COMPLETED,-131.58973424,-0.00135,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x644fb67daebeeb128022e670fe2a6cbfface422143fdd8e2db82dc2cdf3eb9b2,
