#,PAIR,AMOUNT,BASE PRICE,CLOSE PRICE,FUNDING COST,FUNDING TYPE,STATUS,UPDATED,CREATED,LEVERAGE
142683432,ETH/BTC,0,0.00755164,,0,0,CLOSED,30-01-20 22:36:20,25-01-20 22:56:31,
142642619,ETH/BTC,0,-0.04606866,,0,0,CLOSED,25-01-20 22:50:34,18-01-20 11:37:55,
142633285,ETH/BTC,0,0.01569931,,0,0,CLOSED,18-01-20 11:36:39,17-01-20 14:12:48,
142628358,ETH/BTC,0,0.0188046,,0,0,CLOSED,17-01-20 10:29:50,17-01-20 02:48:53,
142587071,ETH/BTC,0,0.01710822,,0,0,CLOSED,16-01-20 11:46:40,13-01-20 10:21:06,
142575836,ETH/BTC,0,0.04861493,,0,0,CLOSED,13-01-20 10:20:42,09-01-20 23:49:22,
142566701,ETH/BTC,0,0.01751902,,0,0,CLOSED,09-01-20 20:53:13,09-01-20 07:19:03,
142563089,ETH/BTC,0,0.01617218,,0,0,CLOSED,08-01-20 20:27:43,08-01-20 16:31:55,
142561776,ETH/BTC,0,0.01744005,,0,0,CLOSED,08-01-20 16:24:52,08-01-20 13:22:32,
142520481,ETH/BTC,0,0.01776115,,0,0,CLOSED,08-01-20 00:05:43,27-12-19 16:29:28,
142506319,ETH/BTC,0,0.01862444,,0,0,CLOSED,25-12-19 09:57:23,23-12-19 10:38:50,
142486270,ETH/USD,0,125.67550048,,0,0,CLOSED,18-12-19 13:30:22,18-12-19 12:01:19,
142486408,BTC/USD,0,7671.51029899,,0,0,CLOSED,18-12-19 13:29:43,18-12-19 12:40:49,
142474892,ETH/BTC,0,0.0245307,,0,0,CLOSED,18-12-19 12:00:16,16-12-19 12:31:40,
142201693,ETH/USD,0,176.85472039,,0,0,CLOSED,17-10-19 12:11:22,17-10-19 12:11:16,
142199630,ETH/USD,0,-6056.60325177,,0,0,CLOSED,17-10-19 11:41:05,16-10-19 19:26:01,
142083103,ETH/USD,0,179.51184897,,0,0,CLOSED,16-10-19 14:53:25,24-09-19 19:08:31,
142009275,ETH/BTC,0,0.0156273,,0,0,CLOSED,17-09-19 23:10:27,10-09-19 16:24:50,
141994656,ETH/USD,0,179.70679225,,0,0,CLOSED,09-09-19 01:03:13,07-09-19 17:00:49,
141992501,ETH/USD,0,174.23238406,,0,0,CLOSED,07-09-19 11:24:36,07-09-19 10:22:07,
141659239,ETH/USD,0,869.48619812,,0,0,CLOSED,06-09-19 21:34:06,20-07-19 02:46:44,
141635086,BTC/USD,0,-28090.1872061,,0,0,CLOSED,18-07-19 15:13:25,18-07-19 12:49:10,
140488858,ETH/USD,0,258.25257535,,0,0,CLOSED,30-04-19 13:56:09,18-04-19 17:04:14,
138903029,ZRX/USD,0,73.13347474,,0,0,CLOSED,30-04-19 13:54:04,02-11-18 14:54:44,
140487800,ETH/USD,0,126.12497209,,0,0,CLOSED,18-04-19 17:02:25,18-04-19 14:00:10,
140484957,ETH/USD,0,140.95759968,,0,0,CLOSED,18-04-19 03:08:04,18-04-19 01:37:43,
140461719,ETH/USD,0,142.71750606,,0,0,CLOSED,18-04-19 01:26:56,15-04-19 02:20:47,
140401879,ETH/USD,0,262.04743667,,0,0,CLOSED,14-04-19 22:17:27,08-04-19 02:42:50,
