#,PAIR,AMOUNT,PRICE,FEE,FEE PERC,FEE CURRENCY,DATE,ORDER ID
413521612,ETH/BTC,1.88210066,0.020369,-0.0037642,0.20%,ETH,02-02-20 12:11:33,38655949768
413521611,ETH/BTC,1.97505852,0.020368,-0.00395012,0.20%,ETH,02-02-20 12:11:33,38655949768
413521621,ETH/BTC,0.2895983,0.020372,-0.0005792,0.20%,ETH,02-02-20 12:11:33,38655949768
413521608,ETH/BTC,2.13926415,0.020367,-0.00427853,0.20%,ETH,02-02-20 12:11:33,38655949768
413521607,ETH/BTC,1.8676879,0.020367,-0.00373538,0.20%,ETH,02-02-20 12:11:33,38655949768
413521606,ETH/BTC,1.89894572,0.020366,-0.00379789,0.20%,ETH,02-02-20 12:11:33,38655949768
413521610,ETH/BTC,1.91751166,0.020368,-0.00383502,0.20%,ETH,02-02-20 12:11:33,38655949768
413521617,ETH/BTC,1.92244254,0.02037,-0.00384489,0.20%,ETH,02-02-20 12:11:33,38655949768
413521618,ETH/BTC,2.06511237,0.020371,-0.00413022,0.20%,ETH,02-02-20 12:11:33,38655949768
413521619,ETH/BTC,1.88715485,0.020371,-0.00377431,0.20%,ETH,02-02-20 12:11:33,38655949768
413521614,ETH/BTC,1.93876917,0.020369,-0.00387754,0.20%,ETH,02-02-20 12:11:33,38655949768
413521605,ETH/BTC,2.17582218,0.020366,-0.00435164,0.20%,ETH,02-02-20 12:11:33,38655949768
413521609,ETH/BTC,1.82758887,0.020367,-0.00365518,0.20%,ETH,02-02-20 12:11:33,38655949768
413521615,ETH/BTC,0.0417,0.02037,-0.0000834,0.20%,ETH,02-02-20 12:11:33,38655949768
413521620,ETH/BTC,1.95719309,0.020371,-0.00391439,0.20%,ETH,02-02-20 12:11:33,38655949768
413521616,ETH/BTC,1.9734786,0.02037,-0.00394696,0.20%,ETH,02-02-20 12:11:33,38655949768
413521613,ETH/BTC,2.11407617,0.020369,-0.00422815,0.20%,ETH,02-02-20 12:11:33,38655949768
413523757,ETH/USD,0.53,192.48605469,-0.00106,0.20%,ETH,02-02-20 12:10:52,38655949767
413523759,ETH/USD,3.25,192.49,-0.0065,0.20%,ETH,02-02-20 12:10:52,38655949767
413523760,ETH/USD,25.84034082,192.5,-0.05168068,0.20%,ETH,02-02-20 12:10:52,38655949767
413523754,ETH/USD,10.30228599,192.4305832,-0.02060457,0.20%,ETH,02-02-20 12:10:52,38655949767
413523756,ETH/USD,0.57049957,192.47,-0.001141,0.20%,ETH,02-02-20 12:10:52,38655949767
413523752,ETH/USD,8,192.4194889,-0.016,0.20%,ETH,02-02-20 12:10:52,38655949767
413523750,ETH/USD,8,192.40839461,-0.016,0.20%,ETH,02-02-20 12:10:52,38655949767
413055943,ETH/BTC,3.88023946,0.019402,-1.43149794,-,USD,30-01-20 22:36:20,38475250610
413055942,ETH/BTC,5,0.019402,-1.8445,-,USD,30-01-20 22:36:20,38475250610
413055941,ETH/BTC,48.84,0.0194,-18.017076,-,USD,30-01-20 22:36:20,38475250610
413055940,ETH/BTC,10,0.0194,-3.6892,-,USD,30-01-20 22:36:20,38475250610
413055932,ETH/BTC,40,0.019389,-14.7568,-,USD,30-01-20 22:36:20,38475250610
413055937,ETH/BTC,1.61987678,0.019399,-0.59760494,-,USD,30-01-20 22:36:20,38475250610
413055938,ETH/BTC,0.56943,0.0194,-0.21006273,-,USD,30-01-20 22:36:20,38475250610
413055939,ETH/BTC,4,0.0194,-1.47568,-,USD,30-01-20 22:36:20,38475250610
413055935,ETH/BTC,0.26609029,0.019396,-0.09816071,-,USD,30-01-20 22:36:20,38475250610
413055933,ETH/BTC,1.52905672,0.019392,-0.56406902,-,USD,30-01-20 22:36:20,38475250610
413055934,ETH/BTC,11,0.019392,-4.0579,-,USD,30-01-20 22:36:20,38475250610
413055936,ETH/BTC,1.61439549,0.019396,-0.59558278,-,USD,30-01-20 22:36:20,38475250610
413055931,ETH/BTC,1.52514285,0.019389,-0.5626557,-,USD,30-01-20 22:36:20,38475250610
413055930,ETH/BTC,82.46940389,0.019388,-30.42461248,-,USD,30-01-20 22:36:20,38475250610
413055927,ETH/BTC,1.68126251,0.019385,-0.62025137,-,USD,30-01-20 22:36:20,38475250610
413055925,ETH/BTC,1.56202535,0.019382,-0.57626239,-,USD,30-01-20 22:36:20,38475250610
413055926,ETH/BTC,24.11,0.019383,-8.894179,-,USD,30-01-20 22:36:20,38475250610
413055924,ETH/BTC,0.05244785,0.019379,-0.01934801,-,USD,30-01-20 22:36:20,38475250610
