Currency,Rate,Amount,Duration,TotalFee,Open,Close
BTC,0.00007000,0.01080716,1.03327546,0.00000078,2018-06-21 06:18:07,2018-06-22 07:06:02
BTC,0.00007000,0.02221516,1.03327546,0.00000161,2018-06-21 06:18:07,2018-06-22 07:06:02
BTC,0.00007600,0.01137145,1.03474537,0.00000089,2018-06-21 06:16:00,2018-06-22 07:06:02
BTC,0.00010700,0.04665434,1.03562500,0.00000517,2018-06-21 06:14:44,2018-06-22 07:06:02
BTC,0.00010912,0.01085897,1.03576388,0.00000123,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00010999,0.04025635,1.03576388,0.00000458,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.01170742,1.03576388,0.00000133,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.01362258,1.03576388,0.00000155,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.03789740,1.03576388,0.00000431,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.03535997,1.03576388,0.00000402,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.01058707,1.03576388,0.00000121,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.09461203,1.03576388,0.00001078,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.01232016,1.03576388,0.00000140,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.05027204,1.03576388,0.00000572,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.01716601,1.03576388,0.00000195,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.04987736,1.03576388,0.00000568,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.03925579,1.03576388,0.00000447,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011000,0.02446024,1.03576388,0.00000279,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011012,0.01112492,1.03576388,0.00000127,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011066,0.07068663,1.03576388,0.00000810,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011066,0.06806676,1.03576388,0.00000780,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011085,0.04763382,1.03576388,0.00000547,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.10656159,1.03576388,0.00001225,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.01275027,1.03576388,0.00000147,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.08102011,1.03576388,0.00000932,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.33973613,1.03576388,0.00003906,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.01250363,1.03576388,0.00000143,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.05646695,1.03576388,0.00000649,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.19024176,1.03576388,0.00002187,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.07258159,1.03576388,0.00000834,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.07001450,1.03576388,0.00000805,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,1.56874280,1.03576388,0.00018036,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.01044509,1.03576388,0.00000120,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.01000659,1.03576388,0.00000115,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,0.05581609,1.03576388,0.00000642,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011100,1.20295434,1.03576388,0.00013830,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011110,0.01500275,1.03562500,0.00000172,2018-06-21 06:14:44,2018-06-22 07:06:02
BTC,0.00011112,0.01058701,1.03576388,0.00000122,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011120,0.02379587,1.03576388,0.00000274,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011133,0.01170742,1.03576388,0.00000135,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011137,0.10706840,1.03576388,0.00001235,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011141,0.01232016,1.03576388,0.00000142,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011157,0.01000000,1.03576388,0.00000115,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011168,0.03032236,1.03576388,0.00000351,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.11064161,1.03576388,0.00001284,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.56900197,1.03576388,0.00006600,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,1.34550829,1.03576388,0.00015608,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.08045058,1.03576388,0.00000934,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.01025102,1.03576388,0.00000119,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.21032555,1.03576388,0.00002440,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.01734844,1.03576388,0.00000201,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.01232016,1.03576388,0.00000142,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.12452902,1.03576388,0.00001444,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.05669561,1.03576388,0.00000657,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.01716602,1.03576388,0.00000199,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011200,0.07828588,1.03576388,0.00000908,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011220,0.36757474,1.03576388,0.00004272,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011223,0.33479028,1.03576388,0.00003892,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011225,0.01058701,1.03576388,0.00000123,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011228,0.14079530,1.03576388,0.00001637,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011231,0.01192799,1.03576388,0.00000138,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011237,0.01032758,1.03576388,0.00000121,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011242,0.02000000,1.03576388,0.00000233,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011256,0.36757471,1.03576388,0.00004285,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011266,0.01170742,1.03576388,0.00000136,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011290,0.01232016,1.03576388,0.00000144,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011290,0.04763383,1.03576388,0.00000557,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011292,0.36757471,1.03576388,0.00004299,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011300,0.01247115,1.03576388,0.00000146,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011300,0.01232016,1.03576388,0.00000144,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011300,0.05907845,1.03576388,0.00000691,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011300,0.05843113,1.03576388,0.00000684,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011301,0.07350931,1.03576388,0.00000860,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011301,0.04042030,1.03576388,0.00000473,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011320,0.14964098,1.03576388,0.00001754,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011323,0.13534728,1.03576388,0.00001587,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011324,0.09768729,1.03576388,0.00001146,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011324,0.08880662,1.03576388,0.00001041,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011324,0.13159138,1.03576388,0.00001544,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011326,0.07350927,1.03576388,0.00000862,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011328,0.36757471,1.03576388,0.00004312,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011331,0.01032758,1.03576388,0.00000122,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011337,0.01058701,1.03576388,0.00000125,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011341,0.01232016,1.03576388,0.00000144,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011349,0.01706437,1.03576388,0.00000200,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011351,0.07350927,1.03576388,0.00000864,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011364,0.36757471,1.03576388,0.00004327,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011376,0.07350927,1.03576388,0.00000866,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011390,0.48225582,1.03576388,0.00005689,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.01170742,1.03576388,0.00000138,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.01734843,1.03576388,0.00000205,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.07392093,1.03576388,0.00000873,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.05374469,1.03576388,0.00000634,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,2.68123906,1.03576388,0.00031660,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.50000000,1.03576388,0.00005904,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.10322120,1.03576388,0.00001219,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.01001389,1.03576388,0.00000119,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.05000000,1.03576388,0.00000591,2018-06-21 06:14:32,2018-06-22 07:06:02
BTC,0.00011400,0.19171186,1.03576388,0.00002264,2018-06-21 06:14:32,2018-06-22 07:06:02
