Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2019-05-22 09:35:17,ZRX,95477.02733234,5.00000000,95472.02733234,0x4d1a58ae1eafdc1fdd6dca1ec543e45643b64230,COMPLETE: 0xbb23ddeb04781b3af3ebc4a71fdfb7a5c4ec99fe827e7577eeb256934ec3a639
2019-05-03 20:37:39,ETH,170.33289486,0.01000000,170.32289486,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xc968d790304eb5341c8314ebf795e19fa891ffffed0d3ee7160b85ef4609e708
2019-04-06 17:29:44,REP,750.31848717,0.10000000,750.21848717,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x71d0d0c09eb9d7f184dcfcc87af5b60686a4dffcc975c0fa031e571e049f2c27
2019-04-03 03:41:08,REP,2000.00000000,0.10000000,1999.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xed180e9389339a96f1ed545084d1bf766a4524e0fec82dde07fef9f50a9d335b
2018-08-08 15:16:11,REP,724.28935663,0.10000000,724.18935663,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xcd62612a1bcf4046d9c08780a8ffee063f4e605c7d3aad9cdff1c40d370675ca
2018-07-25 12:58:13,REP,1610.00000000,0.10000000,1609.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x17b2f2e1af9820556cdd63e95c3556afe23e0c903ac2ffdcf1fda15f2b4c2a8e
2018-07-23 16:11:08,REP,50.00000000,0.10000000,49.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xd3d8963a8da463377b8372b2b7665180c6e42689268788002e1af6e258c8b5a9
2018-07-23 16:10:05,REP,100.10000000,0.10000000,100,0x178531Bd899E61d9111eA0fC1142368f50311EcC,COMPLETE: 0xd8ec9843517c2515a49dbc8cc7e85d3913c28b58e4945698ea569e009091a222
2018-07-23 16:08:19,ZRX,38334.10325471,5.00000000,38329.10325471,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x664a5e4d5c44fa575fab337b0ce2636e02768c560a99451ad7565fa91d7537e0
2018-07-22 09:12:15,ZRX,42700.00000000,5.00000000,42695,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x3cfc92425f010d63c4c1f5b6e403606e7174421a36c4657378ec1aa4310e5e90
2018-07-18 18:04:44,ZRX,38000.00000000,5.00000000,37995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xe24be8c939e61ad2ef7463782d93b1d2065f07670830d2a6fc75c9ee93d9e700
2018-06-17 10:30:10,ETH,97.00000000,0.01000000,96.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x81cbe39568829ccb601f499efd5b4589c2a98d78ae03745acb15f9725ba57370
2018-06-15 11:22:42,ETH,97.00000000,0.01000000,96.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xdabf8afdd25c53bb5037ad72a2dc236288819f16a57e35c63f5ffd6103b5d8d1
2018-06-09 16:16:22,REP,1241.72687646,0.10000000,1241.62687646,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xbc380f863895a787c0369e2eb8b5a2eeaf5a637b76c8a950d843815e8db00949
2018-06-08 12:40:48,REP,1250.00000000,0.10000000,1249.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x6c30a2dedc871354c0a38c93191e903ec90b143ad56c242fbb91f272275b6103
2018-06-07 05:29:49,REP,1250.00000000,0.10000000,1249.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xbe74e851cc17320862190ccf34f19222c79575dbae8038f6496888537ea5c1e2
2018-06-07 05:23:15,REP,10.00000000,0.10000000,9.9,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x2a905bb39a4d7d207d56a33173c662ad1fd29471558eee9d3744085af78eff01
2018-03-23 07:53:44,ETH,43.00000000,0.01000000,42.99,0xC90f04EF4C591Ca5F5e85E08d8d3Ec653508d203,COMPLETE: 0xc658b9bea7d9b3f896a73f978dd4a6ae5bfe0697ff07ba411c5beeb89f8d8f5f
2018-02-17 17:56:08,ETH,37.36310928,0.01000000,37.35310928,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xb4ded1fbd5b008ff193924c0ca3b4b501fba57bf554f3e2d5c3e81d40aa238a0
2018-02-16 08:35:01,ETH,54.00000000,0.01000000,53.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xce60878de601e5c27f201f762e3608989394d3e19a607ab655b676a866a4185f
2018-02-14 17:11:40,ETH,55.00000000,0.01000000,54.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x537db7f3614c6c3279004d1ba95d1b399e94071ec08003f0b7e422ff1c0b6c1c
2018-02-13 15:21:47,ETH,59.50000000,0.01000000,59.49,0x2fcdef09932b7087e9470934c55b69ed3b13a041,COMPLETE: 0x16adaa2432dad4d259b4d22b9c7b5230e9dc20511dd34981e6843e58a83a03bc
